2026-05-11 16:46:35 status half-installed grep:arm64 3.11-4+b1
2026-05-11 16:46:36 status unpacked grep:arm64 3.11-4+b1
2026-05-11 16:46:36 install gzip:arm64 <none> 1.13-1
2026-05-11 16:46:36 status half-installed gzip:arm64 1.13-1
2026-05-11 16:46:37 status unpacked gzip:arm64 1.13-1
2026-05-11 16:46:37 install hostname:arm64 <none> 3.25
2026-05-11 16:46:37 status half-installed hostname:arm64 3.25
2026-05-11 16:46:38 status unpacked hostname:arm64 3.25
2026-05-11 16:46:38 install init-system-helpers:all <none> 1.69~deb13u1
2026-05-11 16:46:38 status half-installed init-system-helpers:all 1.69~deb13u1
2026-05-11 16:46:38 status unpacked init-system-helpers:all 1.69~deb13u1
2026-05-11 16:46:38 install libacl1:arm64 <none> 2.3.2-2+b1
2026-05-11 16:46:38 status half-installed libacl1:arm64 2.3.2-2+b1
2026-05-11 16:46:38 status unpacked libacl1:arm64 2.3.2-2+b1
2026-05-11 16:46:39 install libapt-pkg7.0:arm64 <none> 3.0.3
2026-05-11 16:46:39 status half-installed libapt-pkg7.0:arm64 3.0.3
2026-05-11 16:46:39 status unpacked libapt-pkg7.0:arm64 3.0.3
2026-05-11 16:46:40 install libattr1:arm64 <none> 1:2.5.2-3
2026-05-11 16:46:40 status half-installed libattr1:arm64 1:2.5.2-3
2026-05-11 16:46:40 status unpacked libattr1:arm64 1:2.5.2-3
2026-05-11 16:46:40 install libaudit-common:all <none> 1:4.0.2-2
2026-05-11 16:46:40 status half-installed libaudit-common:all 1:4.0.2-2
2026-05-11 16:46:40 status unpacked libaudit-common:all 1:4.0.2-2
2026-05-11 16:46:40 install libaudit1:arm64 <none> 1:4.0.2-2+b2
2026-05-11 16:46:40 status half-installed libaudit1:arm64 1:4.0.2-2+b2
2026-05-11 16:46:40 status unpacked libaudit1:arm64 1:4.0.2-2+b2
2026-05-11 16:46:41 install libblkid1:arm64 <none> 2.41-5
2026-05-11 16:46:41 status half-installed libblkid1:arm64 2.41-5
2026-05-11 16:46:41 status unpacked libblkid1:arm64 2.41-5
2026-05-11 16:46:41 install libbsd0:arm64 <none> 0.12.2-2
2026-05-11 16:46:41 status half-installed libbsd0:arm64 0.12.2-2
2026-05-11 16:46:41 status unpacked libbsd0:arm64 0.12.2-2
2026-05-11 16:46:41 install libbz2-1.0:arm64 <none> 1.0.8-6
2026-05-11 16:46:41 status half-installed libbz2-1.0:arm64 1.0.8-6
2026-05-11 16:46:42 status unpacked libbz2-1.0:arm64 1.0.8-6
2026-05-11 16:46:42 install libc-bin:arm64 <none> 2.41-12+deb13u2
2026-05-11 16:46:42 status half-installed libc-bin:arm64 2.41-12+deb13u2
2026-05-11 16:46:42 status unpacked libc-bin:arm64 2.41-12+deb13u2
2026-05-11 16:46:43 upgrade libc6:arm64 2.41-12+deb13u2 2.41-12+deb13u2
2026-05-11 16:46:43 status half-configured libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:43 status unpacked libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:43 status half-installed libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:46 status unpacked libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:47 install libcap-ng0:arm64 <none> 0.8.5-4+b1
2026-05-11 16:46:47 status half-installed libcap-ng0:arm64 0.8.5-4+b1
2026-05-11 16:46:47 status unpacked libcap-ng0:arm64 0.8.5-4+b1
2026-05-11 16:46:47 install libcap2:arm64 <none> 1:2.75-10+b8
2026-05-11 16:46:47 status half-installed libcap2:arm64 1:2.75-10+b8
2026-05-11 16:46:48 status unpacked libcap2:arm64 1:2.75-10+b8
2026-05-11 16:46:48 install libcrypt1:arm64 <none> 1:4.4.38-1
2026-05-11 16:46:48 status half-installed libcrypt1:arm64 1:4.4.38-1
2026-05-11 16:46:48 status unpacked libcrypt1:arm64 1:4.4.38-1
2026-05-11 16:46:48 install libdb5.3t64:arm64 <none> 5.3.28+dfsg2-9
2026-05-11 16:46:48 status half-installed libdb5.3t64:arm64 5.3.28+dfsg2-9
2026-05-11 16:46:48 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-9
2026-05-11 16:46:48 install libdebconfclient0:arm64 <none> 0.280
2026-05-11 16:46:48 status half-installed libdebconfclient0:arm64 0.280
2026-05-11 16:46:49 status unpacked libdebconfclient0:arm64 0.280
2026-05-11 16:46:49 install libgcc-s1:arm64 <none> 14.2.0-19
2026-05-11 16:46:49 status half-installed libgcc-s1:arm64 14.2.0-19
2026-05-11 16:46:49 status unpacked libgcc-s1:arm64 14.2.0-19
2026-05-11 16:46:49 install libgmp10:arm64 <none> 2:6.3.0+dfsg-3
2026-05-11 16:46:49 status half-installed libgmp10:arm64 2:6.3.0+dfsg-3
2026-05-11 16:46:49 status unpacked libgmp10:arm64 2:6.3.0+dfsg-3
2026-05-11 16:46:49 install libhogweed6t64:arm64 <none> 3.10.1-1
2026-05-11 16:46:49 status half-installed libhogweed6t64:arm64 3.10.1-1
2026-05-11 16:46:49 status unpacked libhogweed6t64:arm64 3.10.1-1
2026-05-11 16:46:50 install liblastlog2-2:arm64 <none> 2.41-5
2026-05-11 16:46:50 status half-installed liblastlog2-2:arm64 2.41-5
2026-05-11 16:46:50 status unpacked liblastlog2-2:arm64 2.41-5
2026-05-11 16:46:50 install liblz4-1:arm64 <none> 1.10.0-4
2026-05-11 16:46:50 status half-installed liblz4-1:arm64 1.10.0-4
2026-05-11 16:46:50 status unpacked liblz4-1:arm64 1.10.0-4
2026-05-11 16:46:50 install liblzma5:arm64 <none> 5.8.1-1
2026-05-11 16:46:50 status half-installed liblzma5:arm64 5.8.1-1
2026-05-11 16:46:50 status unpacked liblzma5:arm64 5.8.1-1
2026-05-11 16:46:51 install libmd0:arm64 <none> 1.1.0-2+b1
2026-05-11 16:46:51 status half-installed libmd0:arm64 1.1.0-2+b1
2026-05-11 16:46:51 status unpacked libmd0:arm64 1.1.0-2+b1
2026-05-11 16:46:51 install libmount1:arm64 <none> 2.41-5
2026-05-11 16:46:51 status half-installed libmount1:arm64 2.41-5
2026-05-11 16:46:51 status unpacked libmount1:arm64 2.41-5
2026-05-11 16:46:51 install libnettle8t64:arm64 <none> 3.10.1-1
2026-05-11 16:46:51 status half-installed libnettle8t64:arm64 3.10.1-1
2026-05-11 16:46:52 status unpacked libnettle8t64:arm64 3.10.1-1
2026-05-11 16:46:52 install libpam-modules:arm64 <none> 1.7.0-5
2026-05-11 16:46:52 status half-installed libpam-modules:arm64 1.7.0-5
2026-05-11 16:46:53 status unpacked libpam-modules:arm64 1.7.0-5
2026-05-11 16:46:53 install libpam-modules-bin:arm64 <none> 1.7.0-5
2026-05-11 16:46:53 status half-installed libpam-modules-bin:arm64 1.7.0-5
2026-05-11 16:46:53 status unpacked libpam-modules-bin:arm64 1.7.0-5
2026-05-11 16:46:54 install libpam-runtime:all <none> 1.7.0-5
2026-05-11 16:46:54 status half-installed libpam-runtime:all 1.7.0-5
2026-05-11 16:46:55 status unpacked libpam-runtime:all 1.7.0-5
2026-05-11 16:46:56 install libpam0g:arm64 <none> 1.7.0-5
2026-05-11 16:46:56 status half-installed libpam0g:arm64 1.7.0-5
2026-05-11 16:46:56 status unpacked libpam0g:arm64 1.7.0-5
2026-05-11 16:46:56 install libpcre2-8-0:arm64 <none> 10.46-1~deb13u1
2026-05-11 16:46:56 status half-installed libpcre2-8-0:arm64 10.46-1~deb13u1
2026-05-11 16:46:56 status unpacked libpcre2-8-0:arm64 10.46-1~deb13u1
2026-05-11 16:46:57 install libseccomp2:arm64 <none> 2.6.0-2
2026-05-11 16:46:57 status half-installed libseccomp2:arm64 2.6.0-2
2026-05-11 16:46:57 status unpacked libseccomp2:arm64 2.6.0-2
2026-05-11 16:46:57 install libselinux1:arm64 <none> 3.8.1-1
2026-05-11 16:46:57 status half-installed libselinux1:arm64 3.8.1-1
2026-05-11 16:46:57 status unpacked libselinux1:arm64 3.8.1-1
2026-05-11 16:46:57 install libsemanage-common:all <none> 3.8.1-1
2026-05-11 16:46:57 status half-installed libsemanage-common:all 3.8.1-1
2026-05-11 16:46:57 status unpacked libsemanage-common:all 3.8.1-1
2026-05-11 16:46:58 install libsemanage2:arm64 <none> 3.8.1-1
2026-05-11 16:46:58 status half-installed libsemanage2:arm64 3.8.1-1
2026-05-11 16:46:58 status unpacked libsemanage2:arm64 3.8.1-1
2026-05-11 16:46:58 install libsepol2:arm64 <none> 3.8.1-1
2026-05-11 16:46:58 status half-installed libsepol2:arm64 3.8.1-1
2026-05-11 16:46:58 status unpacked libsepol2:arm64 3.8.1-1
2026-05-11 16:46:58 install libsmartcols1:arm64 <none> 2.41-5
2026-05-11 16:46:58 status half-installed libsmartcols1:arm64 2.41-5
2026-05-11 16:46:58 status unpacked libsmartcols1:arm64 2.41-5
2026-05-11 16:46:59 install libsqlite3-0:arm64 <none> 3.46.1-7+deb13u1
2026-05-11 16:46:59 status half-installed libsqlite3-0:arm64 3.46.1-7+deb13u1
2026-05-11 16:46:59 status unpacked libsqlite3-0:arm64 3.46.1-7+deb13u1
2026-05-11 16:46:59 install libssl3t64:arm64 <none> 3.5.5-1~deb13u1
2026-05-11 16:46:59 status half-installed libssl3t64:arm64 3.5.5-1~deb13u1
2026-05-11 16:47:00 status unpacked libssl3t64:arm64 3.5.5-1~deb13u1
2026-05-11 16:47:00 install libstdc++6:arm64 <none> 14.2.0-19
2026-05-11 16:47:00 status half-installed libstdc++6:arm64 14.2.0-19
2026-05-11 16:47:00 status unpacked libstdc++6:arm64 14.2.0-19
2026-05-11 16:47:00 install libsystemd0:arm64 <none> 257.9-1~deb13u1
2026-05-11 16:47:00 status half-installed libsystemd0:arm64 257.9-1~deb13u1
2026-05-11 16:47:00 status unpacked libsystemd0:arm64 257.9-1~deb13u1
2026-05-11 16:47:01 install libtinfo6:arm64 <none> 6.5+20250216-2
2026-05-11 16:47:01 status half-installed libtinfo6:arm64 6.5+20250216-2
2026-05-11 16:47:01 status unpacked libtinfo6:arm64 6.5+20250216-2
2026-05-11 16:47:01 install libudev1:arm64 <none> 257.9-1~deb13u1
2026-05-11 16:47:01 status half-installed libudev1:arm64 257.9-1~deb13u1
2026-05-11 16:47:01 status unpacked libudev1:arm64 257.9-1~deb13u1
2026-05-11 16:47:01 install libuuid1:arm64 <none> 2.41-5
2026-05-11 16:47:01 status half-installed libuuid1:arm64 2.41-5
2026-05-11 16:47:02 status unpacked libuuid1:arm64 2.41-5
2026-05-11 16:47:02 install libxxhash0:arm64 <none> 0.8.3-2
2026-05-11 16:47:02 status half-installed libxxhash0:arm64 0.8.3-2
2026-05-11 16:47:02 status unpacked libxxhash0:arm64 0.8.3-2
2026-05-11 16:47:02 install libzstd1:arm64 <none> 1.5.7+dfsg-1
2026-05-11 16:47:02 status half-installed libzstd1:arm64 1.5.7+dfsg-1
2026-05-11 16:47:02 status unpacked libzstd1:arm64 1.5.7+dfsg-1
2026-05-11 16:47:03 install login:arm64 <none> 1:4.16.0-2+really2.41-5
2026-05-11 16:47:03 status half-installed login:arm64 1:4.16.0-2+really2.41-5
2026-05-11 16:47:03 status unpacked login:arm64 1:4.16.0-2+really2.41-5
2026-05-11 16:47:03 install login.defs:all <none> 1:4.17.4-2
2026-05-11 16:47:03 status half-installed login.defs:all 1:4.17.4-2
2026-05-11 16:47:04 status unpacked login.defs:all 1:4.17.4-2
2026-05-11 16:47:04 upgrade mawk:arm64 1.3.4.20250131-1 1.3.4.20250131-1
2026-05-11 16:47:04 status half-configured mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:04 status unpacked mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:04 status half-installed mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:04 status unpacked mawk:arm64 1.3.4.20250131-1
2026-05-11 16:47:05 install mount:arm64 <none> 2.41-5
2026-05-11 16:47:05 status half-installed mount:arm64 2.41-5
2026-05-11 16:47:05 status unpacked mount:arm64 2.41-5
2026-05-11 16:47:05 install ncurses-base:all <none> 6.5+20250216-2
2026-05-11 16:47:05 status half-installed ncurses-base:all 6.5+20250216-2
2026-05-11 16:47:06 status unpacked ncurses-base:all 6.5+20250216-2
2026-05-11 16:47:06 install ncurses-bin:arm64 <none> 6.5+20250216-2
2026-05-11 16:47:06 status half-installed ncurses-bin:arm64 6.5+20250216-2
2026-05-11 16:47:06 status unpacked ncurses-bin:arm64 6.5+20250216-2
